Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Career Essentials in Software Development by Microsoft and LinkedIn,Discover the skills needed for a career in software development. Learn the core concepts and structure of programming languages and learn how they are applied.,Learning Path,N/A,N/A,true,N/A,
Career Essentials in Project Management by Microsoft and LinkedIn,"Learn what it takes to succeed as a project management professional. Discover how to manage projects effectively, from simple to complex, with expert guidance on scheduling, budgeting, communication, and more. Explore project management tools included in the Microsoft 365 suite. ",Learning Path,N/A,N/A,true,N/A,
Career Essentials in Business Analysis by Microsoft and LinkedIn,Discover the skills needed to thrive in a business analyst role. Explore foundational business analysis concepts and understand key processes. Practice using software tools for common business analysis tasks.,Learning Path,N/A,N/A,true,N/A,
Career Essentials in Data Analysis by Microsoft and LinkedIn,Discover the skills needed for a career in data analysis. Learn foundational concepts used in data analysis and practice using software tools for data analytics and data visualization.,Learning Path,N/A,N/A,true,N/A,
Become a Software Developer,"Get an introduction to the programming skills needed for a career as a software developer. This learning path provides a broad perspective on core technologies for web development, software development, and databases. It introduces common tools and the bigger picture of how development careers work.",Learning Path,N/A,N/A,true,N/A,
React: Building Styles with CSS Modules (2017),"React styles and CSS styles haven't always agreed in the use of inline styling. As React development has grown, developers have figured out more and more ways of smoothly integrating and maintaining a style with their code. Whether you need to style a React-based user interface or want to create dramatic animation, this course gives you the keys you need to build attractive and maintainable style using React and CSS modules.",Course,N/A,N/A,true,N/A,
Exam Tips: Certified Kubernetes Administrator (CKA),"Kubernetes adoption is exploding; certification is the best way to establish your credibility and value in today's competitive job market. Certified Kubernetes Administrator (CKA) is the most popular options available. This credential—offered by the Linux Foundation—is among the most esteemed certifications for DevOps engineers and IT professionals who are developing and supporting cloud-native applications for Kubernetes. In this course, you can explore the benefits of CKA certification and the topics covered in each of the exam's ten domains. Instructor David Davis also provides study tips to help you be more effective at this proctored, performance-based exam.<br><br>As part of our relationship with The Linux Foundation, we’re able to offer certification candidates a 25% discount on exam vouchers. Candidates can use the discount code “LILEARN25” and sign up <a href=""https://training.linuxfoundation.org/certification/certified-kubernetes-administrator-cka/"" target=""_blank"">here</a>. No restrictions apply.",Course,2021-09-05 06:56 UTC,N/A,true,N/A,
React: Authentication,"User authentication is a critical part of virtually every website, yet few web developers know all the details behind how it works and how to use it to provide a good user experience. In this course, instructor Shaun Wassell dives into the details behind user authentication in the context of React and how to incorporate user authentication into React applications. Shaun begins with some definitions, steps, and basic authentication projects. Then he discusses in-depth email verification and how to set it up. Shaun explains how to give users the ability to reset their passwords, then describes the steps in setting up OAuth. He goes over several prebuilt authentication options, then concludes with some best practice recommendations.",Course,N/A,N/A,true,N/A,
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023-04-15 14:19 UTC,N/A,false,N/A,
Animating in Photoshop,"Interested in bringing your line drawings to life? With Adobe Photoshop, you can transform your hand-drawn artwork into compelling animations quickly, avoiding complex specialty software with steep learning curves. Learn how to use Photoshop to make your drawings move in this course with veteran animator Dermot O' Connor. Find out how to draw captivating characters with media brushes, clean up your rough drawings, and add color and inking. Dermot then takes you to the timeline where the animation takes place and shows how to draw the keys, or main poses of an animation; breakdowns; and inbetweens. He also shows how to plot arcs to establish timing and spacing. Finally, learn how to adjust the timing of the final animation and render out the results. By the end of this course, you'll be able to harness this popular software to bring your artwork to life.<br><br>This course was created by Dermot O' Connor. We are pleased to offer this training in our library.",Course,2022-03-06 04:56 UTC,N/A,false,N/A,
C Programming for Embedded Applications (2018),"Learn to write embedded software in C and deliver applications that are small, efficient, and fast. In this course, instructor Eduardo Corpeño explains how C programming and the Internet of Things combine in embedded applications—software that permanently resides on a device. He reviews the challenges involved in this type of programming, ranging from memory, storage, and power limitations to hardware awareness. He explains how different data types can affect the performance of your app and reviews bit manipulation—an area where C shines. Eduardo shows how to manipulate bit-level data using bit masking and bit fields, demonstrating the strengths of both techniques with an Arduino controller.  Then learn how to use the volatile and const variables to enforce data correctness and read-only access, and explore alternatives to traditional functions, which may take too long to run, and floating-point math, which consumes CPU.",Course,2021-04-08 15:04 UTC,N/A,false,N/A,
